	ERR188047	ERR188063	ERR188088	ERR188118	ERR188135	ERR188151	ERR188158	ERR188162	ERR188163	ERR188165	ERR188167	ERR188180	ERR188187	ERR188190	ERR188202	ERR188206	ERR188213	ERR188214	ERR188231	ERR188247	ERR188248	ERR188254	ERR188273	ERR188288	ERR188297	ERR188304	ERR188307	ERR188311	ERR188325	ERR188327	ERR188329	ERR188368	ERR188369	ERR188376	ERR188380	ERR188416	ERR188428	ERR188445	ERR188449	ERR188474	ERR188481
HIST1H1B_ENSG00000184357.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004254636	0	0	0.000271837	0
HIST1H2BI_ENSG00000168242.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002018383	0	0	0.000117417	0
HIST1H2BM_ENSG00000196374.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002573182	0	0	0.000178596	0
HIST1H3B_ENSG00000124693.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003710106	0	0	0.000162851	0
HIST1H4B_ENSG00000124529.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00305263	0	0	0.000166973	0
HIST1H4D_ENSG00000188987.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002488153	0	0	0.000141203	0
C6orf47_ENSG00000204439.3	0	0.000414025	0.00041084	0.000253193	0	0	0.000514001	0.000517646	0.000293824	0	0.000149675	0.000179456	0.000299584	0	0	0	0	0.00063369	0.000524945	0.000513018	0.000248917	0.000475682	0	0.000561448	0.000422412	0.000255083	0.000548578	0.000180991	0.000555336	0.000418597	0.000539998	0	0.000335996	0.000418597	0.000146053	0	0	0	0.000257018	0	0.000608981
ZNF579_ENSG00000218891.2	0	0.000254902	0.000367759	0.000160047	0	0	0.000291949	0.000368789	0.00016339	0	0.000156725	0.000213228	0.000185562	0	0	0	0.000122026	0.000323357	0.000264702	0.000212953	0.000194488	0.000321922	0	0.000303247	0.000219612	0.000259251	0.00024293	0	0.000347304	0.000565832	0.000311458	0	0.000299892	0.000267752	0	0	0	0	0.000200566	0	0.000303658
PRR7_ENSG00000131188.7	0	0.000487681	0.001404373	0.000272959	0	0	0.00046931	0.000864719	0.000353782	0	0.000466103	0.000453603	0.000326706	0	0	0	0.000246604	0.000497701	0.000549214	0.000486895	0.000552405	0.001000403	0	0.000631227	0.000375893	0.000680602	0.000336774	0.000326706	0.001295813	0.001253065	0.000573772	0	0.00079241	0.000752004	0.000244279	0	0	0	0.000535137	0	0.000829201
ABHD17A_ENSG00000129968.11	0.000392865	0.001234135	0.00132093	0.000849893	0.000247866	0.000500399	0.001426767	0.002077973	0.000933208	0.000255787	0.001006896	0.00106096	0.000826678	0.000139928	0.000145768	0.00034224	0.000455337	0.001398818	0.001032559	0.001008371	0.000951504	0.001429951	0.000576513	0.001416166	0.001161612	0.001382005	0.001329064	0.000832993	0.001317279	0.001838369	0.001152618	0.000363604	0.001529045	0.00097131	0.000617752	0	0.000271942	0.000440714	0.001093464	0.000224243	0.001140561
