	ERR188047	ERR188063	ERR188088	ERR188118	ERR188135	ERR188151	ERR188158	ERR188162	ERR188163	ERR188165	ERR188167	ERR188180	ERR188187	ERR188190	ERR188202	ERR188206	ERR188213	ERR188214	ERR188231	ERR188247	ERR188248	ERR188254	ERR188273	ERR188288	ERR188297	ERR188304	ERR188307	ERR188311	ERR188325	ERR188327	ERR188329	ERR188368	ERR188369	ERR188376	ERR188380	ERR188416	ERR188428	ERR188445	ERR188449	ERR188474	ERR188481
IGKV2D-29_ENSG00000243264.1	0	0	0	0.001346316	0	0	0	0	0.000117122	0	0.000302014	0.002452741	0.000577816	0.000803002	0	0.000493895	0	0	0.001505349	0.000203201	0.000335443	0	0	0.0003072	0	0.005734607	0.003956197	0	0	0	0	0.000155458	0.000346124	0	0	0.01197879	0.000348057	0.007490693	0	0	0
IGLV4-60_ENSG00000211639.2	0	0	0	0.000176604	0	0	0	0	0.002152194	0	0.000977422	0.000895065	0.000189003	0.006628676	0	0.009998657	0	0	0.000290152	0	0.00016457	0	0	0	0	0.001627372	0.000240177	0	0	0	0	0.000112476	0	0	0	0	0.000282603	0.000651244	0	0	0
IGKV1-8_ENSG00000240671.1	0	0	0.000660686	0.000428255	0	0.000221293	0	0	0.000985673	0	0.000837404	0.000221026	0.000674764	0.001227684	0.000241702	0.010313715	0	0.00018179	0.002384377	0.000833551	0.003653095	0	0	0	0	0.001412158	0.00110154	0	0	0	0.000271837	0.002892233	0.000390062	0	0	0.007513248	0.001724759	0.034613713	0	0	0
IGLV4-69_ENSG00000211637.2	0	0	0	0.000804574	0	0	0	0	0.000544299	0.000256513	0.00040938	0.0051375	0.000396469	0.005695279	0	0.045478607	0	0	0.004266668	0.001181705	0.003875404	0	0	0.00026245	0	0.001876034	0.004472937	0	0	0	0.000180304	0.001626133	0.018377313	0	0	0.001933903	0.002853588	0.022699049	0	0	0
IGHV6-1_ENSG00000211933.2	0	0.000332825	0	0.000299464	0	0.000511081	0	0	0.000893359	0	0.000528931	0.001131157	0.001896675	0.002097413	0	0.001252202	0	0	0.007654408	0.000933208	0.002317161	0	0	0	0	0.00097781	0.001639675	0	0	0	0.000258264	0.007962837	0.001555646	0	0.0004442	0.002773163	0.000254061	0.0037436	0	0	0
JPH4_ENSG00000092051.12	0.000271738	0.000156399	0	4.08E-05	0.000151689	0	0	0	0.000169715	0	0	0.000168582	0.000162694	0.000122026	0.00017806	0.000122569	0.000617175	6.63E-05	0.000176752	0	0.000280835	0	0	0	0	0.000222531	3.47E-05	0	0.000376982	0.001053074	8.75E-05	0	0	0.00037607	0	0	0	0.000216318	0	0.000252366	0.000202472
IGHV2-70_ENSG00000211974.2	0	0	0	0.000539654	0	0	0	0	0.00042467	0	0.003328037	0.000601383	0.001663669	0.002907071	0	0.005706456	0	0	0.002863726	0	0.000664318	0.000242823	0	0	0	0.000870024	0.001246785	0	0	0	0.002457759	0.003293262	0.00040805	0	0	0.00085717	0.002237592	0.001571752	0	0	0
C1orf200_ENSG00000179840.5	4.43E-05	0	0.000112691	0	0.000201322	0	0	0	0	0	0	0	0	0	0.000156339	0	0.000166902	0	0	0	0	0	0	0	0	0	0	0	0.000180765	0.000259712	0.000123407	0	0	0.000181401	0	0	0	0	0	0	0.000139998
IGLV3-19_ENSG00000211663.2	0	0	0	0.000268385	0	0.00028975	0	0	0.001044685	0	0.013339324	0.001408062	0.000673326	0.031839782	0	0.00988503	0	0.000277629	0.0091262	0.000564405	0.002208988	0.000232458	0	0	0.000111913	0.0008056	0.029306947	1	0	0	0.000519737	0.072694832	0	0	0	0.050128988	0.003616473	0.008421301	0	0	0
IGKV2-24_ENSG00000241294.1	0	0.000168195	0	0	0	0	0	8.75E-05	0.002149189	0	0.002144991	0.002570326	0.000498024	0.009112467	0	0.002569499	0	0.001265187	0.023372343	0.002296558	0.002602797	0	0	0	0.000471876	0.000683819	0.003680665	0	0	0	0	0.025478418	0	0	0	0.000944019	0.000506611	0.00532977	0.000190029	0	0
IGLV9-49_ENSG00000223350.2	0	0	0	8.36E-05	0	0	0	0	0.000140136	0	0.000186517	0.00077419	0	0.046064364	0	0.020668625	0	0.000164274	0.003505182	0.029517984	0.00015997	0	0	0	0	0.000211606	0.00045998	0	0	0	0	0.001931934	0.003431783	0	0	0.000330446	0.000600654	0.001204429	0	0	0
KIF21A_ENSG00000139116.13	0.000994982	0.000501814	0	0.000833551	0.000808892	0.000557414	0.000293928	0.000423837	0.001026536	0.000489076	0.000261242	0.000727522	0.000814207	0.000669386	0.00108962	0.000305663	0.001118548	0.000311225	0.000402789	0.000504813	0.000702071	0.000590903	0.00060244	0.000301325	0.000585079	0.000867428	0.00045419	0.000591094	0.000829102	0.000720958	0.00032104	0.0005717	0.000306309	0.000770898	0.000221026	0.00040037	0.000325674	0.00048509	0.000561971	0.001382945	0.000978094
HLA-DPB1_ENSG00000223865.6	0.04206663	0.029306947	0.022415689	0.008748764	0.030346499	0.033260756	0.030649453	0.022415689	0.013518705	0.018746956	0.014902014	0.020456911	0.012026844	0.015161978	0.026084418	0.011321522	0.050746829	0.019067553	0.015105184	0.010887882	0.016252383	0.011776844	0.039982483	0.010470671	0.012857453	0.011386564	0.007999202	0.024722314	0.039528711	0.025317677	0.011364959	0.008717411	0.014470947	0.042738954	0.014269608	0.008703319	0.009293375	0.013453735	0.030892442	0.021133502	0.027826581
