	Population	Performer
ERR188047	CEU	CNAG_CRG
ERR188063	TSI	LUMC
ERR188088	TSI	UNIGE
ERR188118	FIN	ICMB
ERR188135	CEU	CNAG_CRG
ERR188151	YRI	CNAG_CRG
ERR188158	YRI	LUMC
ERR188162	YRI	UNIGE
ERR188163	FIN	ICMB
ERR188165	YRI	MPIMG
ERR188167	GBR	ICMB
ERR188180	FIN	ICMB
ERR188187	FIN	ICMB
ERR188190	FIN	MPIMG
ERR188202	CEU	MPIMG
ERR188206	GBR	CNAG_CRG
ERR188213	CEU	CNAG_CRG
ERR188214	YRI	LUMC
ERR188231	GBR	LUMC
ERR188247	GBR	UNIGE
ERR188248	FIN	ICMB
ERR188254	TSI	UNIGE
ERR188273	YRI	MPIMG
ERR188288	TSI	UNIGE
ERR188297	TSI	UNIGE
ERR188304	FIN	UNIGE
ERR188307	GBR	UNIGE
ERR188311	YRI	ICMB
ERR188325	CEU	UNIGE
ERR188327	CEU	UNIGE
ERR188329	TSI	UNIGE
ERR188368	GBR	MPIMG
ERR188369	TSI	UU
ERR188376	CEU	UU
ERR188380	TSI	MPIMG
ERR188416	GBR	MPIMG
ERR188428	GBR	HMGU
ERR188445	FIN	MPIMG
ERR188449	YRI	UNIGE
ERR188474	CEU	HMGU
ERR188481	CEU	UU
